      #Hard_ZPE      #Hard_ZPE      #Hard_ZPE
 #Erot(HCl)cm-1             #J    #Speed(m/s)
          21.19              1         298.30
         317.80              5         380.05
         211.87              4         313.38
          63.56              2         371.61
          21.19              1         397.73
          63.56              2         110.32
          63.56              2         423.17
         444.92              6         280.08
          63.56              2         390.02
         127.12              3         208.13
          63.56              2         352.80
         211.87              4         401.01
         211.87              4         361.09
          63.56              2         204.88
         762.73              8         187.98
         127.12              3         119.08
         127.12              3         412.49
         317.80              5         155.00
         211.87              4         144.14
          63.56              2         248.60
          63.56              2         356.00
          63.56              2         289.23
          21.19              1         137.28
         211.87              4         307.36
          21.19              1         346.36
         211.87              4         260.22
         317.80              5         199.77
         127.12              3         245.22
          63.56              2         235.77
         127.12              3         353.27
           0.00              0         146.42
         127.12              3         191.36
         127.12              3         393.53
           0.00              0         131.01
         444.92              6         166.25
         444.92              6         409.82
         211.87              4         180.18
         211.87              4         265.42
         211.87              4         142.78
         127.12              3         303.79
         127.12              3         350.40
         127.12              3         511.99
         317.80              5         333.48
          21.19              1         406.82
         593.23              7         176.23
          21.19              1         208.12
          21.19              1         300.97
         127.12              3         192.52
         444.92              6         460.40
          63.56              2         197.95
         127.12              3         475.36
         127.12              3         243.46
          63.56              2         467.84
         211.87              4         267.25
         127.12              3         469.27
         211.87              4         171.84
         211.87              4         174.84
         593.23              7         374.52
         593.23              7         113.48
         317.80              5         142.77
         127.12              3         314.65
         211.87              4          69.82
         211.87              4         227.10
         317.80              5         202.55
          21.19              1         234.89
          63.56              2         457.84
         593.23              7         336.60
          63.56              2         235.28
          63.56              2         232.90
         127.12              3         384.60
         211.87              4         252.92
          63.56              2         278.63
         127.12              3         134.26
         444.92              6         239.49
         762.73              8         380.87
          63.56              2         253.66
         444.92              6         236.76
         211.87              4         279.83
           0.00              0         394.89
          21.19              1         170.30
          21.19              1         467.76
         211.87              4         447.30
          63.56              2         371.25
         127.12              3         185.62
         211.87              4         100.71
         211.87              4         210.53
          63.56              2         329.06
         593.23              7         204.01
         211.87              4         212.44
          63.56              2         207.92
         127.12              3         249.69
         211.87              4         160.42
         211.87              4         361.37
          63.56              2         299.29
         127.12              3         380.39
         444.92              6         437.60
          21.19              1         322.34
          21.19              1         189.86
         127.12              3         392.07
         211.87              4         227.26
          63.56              2         124.11
          63.56              2         433.35
         211.87              4         166.54
         317.80              5         253.16
          21.19              1         282.90
         127.12              3         228.32
         444.92              6         142.69
         127.12              3         110.08
         444.92              6         187.86
         127.12              3         240.29
         211.87              4         302.42
         211.87              4         346.69
           0.00              0         523.65
         211.87              4         347.65
         317.80              5         161.38
         211.87              4         309.66
         593.23              7         288.56
         444.92              6         244.77
         444.92              6         411.43
         317.80              5         250.12
          21.19              1         395.80
          63.56              2         319.90
          63.56              2         156.51
