      #Soft_ZPE      #Soft_ZPE      #Soft_ZPE
   #Erot(W)cm-1             #J    #Speed(m/s)
          19.81              1         230.72
          35.27              1         515.32
          16.54              1         371.25
         131.28              3         369.44
          26.21              1         456.97
         421.88              6          77.39
         292.19              5         209.43
         341.95              5         448.51
         298.19              5         325.32
         134.27              2         492.56
         120.35              2         360.15
          21.76              1         415.03
         284.03              3         421.28
         152.59              3         450.97
         252.30              4         562.79
         344.57              4         371.95
         393.37              4         227.22
         444.78              6         195.68
         288.75              4         297.11
         218.03              3         396.60
         266.44              5         508.00
         371.67              6         159.14
         325.52              5         302.20
         110.70              3         516.01
          84.24              2         581.15
         179.05              3         371.48
         317.86              5         504.65
         185.45              3         200.50
         322.29              4         427.63
         236.63              4         358.92
          90.69              2         599.96
         300.34              5         366.71
         486.01              5         177.21
         195.48              3         540.36
         175.31              4         353.62
         386.50              6         277.48
          87.12              1         412.50
           6.45              1         476.87
         302.92              3         222.15
          56.51              2         611.08
          89.19              2         633.36
         123.13              3         275.48
         417.06              5         480.18
          53.21              2         524.14
         272.94              4         489.96
         430.60              5         287.81
           1.25              0         476.92
          62.15              2         440.33
          31.27              1         633.61
         228.11              4         503.30
         237.60              5         255.85
         377.11              5         287.36
           9.30              0         613.01
         161.75              3         452.71
         160.25              2         290.30
         276.53              3         561.77
         137.17              2         540.74
         360.77              5         327.46
         368.72              6         213.02
          81.28              3         376.14
          46.23              2         666.81
         379.04              4         315.37
         160.93              3         190.63
         259.88              4         365.78
         189.11              3          91.08
          89.54              2         483.91
          66.51              2         391.21
