    #Hard_water    #Hard_water    #Hard_water
   #Erot(W)cm-1             #J    #Speed(m/s)
         244.31              4         293.04
          96.60              2         580.49
          73.43              2         390.17
         124.47              3         229.98
         305.62              5         392.44
         974.53              8         356.13
         177.87              4         451.96
         343.52              6         423.99
         123.47              3         442.96
         535.76              5         215.19
         296.94              3         240.52
         695.78              5         535.27
         116.58              2         367.86
         343.55              5         370.30
         432.33              5         654.06
         394.69              3         706.83
          49.97              1         379.95
          53.69              2         548.43
         458.14              6         437.72
         146.12              4         673.65
          33.45              1         386.80
        1142.70              7         457.57
         583.16              4         153.36
          93.58              2         779.14
         564.06              5         711.28
         603.75              5         710.38
         290.14              4         558.00
         730.12              8         595.19
         249.10              5         532.75
         172.72              4         450.53
         181.04              4         465.76
        1382.80              7         682.70
         337.21              4         352.12
         153.01              3         279.32
         544.08              8         677.74
         256.10              3         566.63
         656.73              5         371.50
         402.94              5         495.34
          82.35              2         327.30
         457.84              4         641.39
         976.44              8         699.62
          53.46              2         569.72
         112.37              3         837.63
         886.12              9         592.66
         290.20              5        1320.00
         136.77              3         930.22
         523.31              6         513.02
          52.68              1         164.53
         163.45              3         618.41
         626.34              4         221.56
         407.57              6         674.78
         300.76              4         473.37
          64.05              1         675.83
         376.76              5         354.28
         207.59              4         272.53
         406.02              4         816.33
         468.42              7         325.30
         218.25              5         183.37
         472.48              7         579.15
        2133.99             12         331.32
          74.25              2         501.71
        1239.63              7         848.19
         496.47              6         625.74
         132.64              2         487.21
         115.94              3         283.84
         706.61              6         249.91
         523.24              6         717.98
         431.46              5         488.72
         136.65              2         216.54
          61.58              2         275.63
         430.09              4         225.29
         342.09              4         750.37
         868.83              9         802.58
         531.45              6         558.13
         797.61              8         751.10
         712.13              6         238.08
         721.93              7         785.34
         518.66              7         201.53
        1059.63              9         808.05
         355.16              6         456.95
         894.66              7         363.65
         317.22              5         187.94
         174.69              3         183.98
         226.90              4         276.67
         153.43              2         200.82
         506.29              4         831.13
         131.71              3         286.68
