      #Soft_ZPE      #Soft_ZPE      #Soft_ZPE
 #Erot(HCl)cm-1             #J    #Speed(m/s)
         317.80              5         195.09
         127.12              3         204.41
         127.12              3         150.77
         762.73              8         262.45
         317.80              5         293.48
         593.23              7         224.54
          21.19              1         330.98
         127.12              3         291.67
         127.12              3         272.44
         593.23              7         138.22
          63.56              2         461.67
         127.12              3         505.16
         317.80              5         268.33
         444.92              6         311.78
         127.12              3         225.74
         593.23              7         161.23
           0.00              0         344.87
          63.56              2         347.17
         127.12              3         320.93
         317.80              5         304.16
         953.41              9         107.75
          63.56              2         306.75
          63.56              2         305.22
          63.56              2         321.97
         444.92              6         350.89
         953.41              9         141.51
         127.12              3         312.46
         211.87              4         391.09
          63.56              2         468.28
         211.87              4         191.03
         127.12              3         469.07
         127.12              3         144.06
         317.80              5         578.58
         127.12              3         208.97
         953.41              9         237.08
          63.56              2         492.33
         444.92              6         232.67
          63.56              2         297.62
         127.12              3         359.89
         127.12              3         415.28
         444.92              6         255.56
          21.19              1         567.80
           0.00              0         130.75
         211.87              4         324.19
          21.19              1         243.35
          21.19              1         507.45
          21.19              1         119.34
         127.12              3         338.41
          63.56              2         298.21
         317.80              5         170.29
          63.56              2         131.52
         444.92              6         297.50
         127.12              3         220.07
          63.56              2         213.00
         444.92              6         523.33
          21.19              1         376.02
         127.12              3         214.03
         211.87              4         305.57
           0.00              0         303.16
          63.56              2         154.16
         127.12              3         417.67
         127.12              3         165.29
         127.12              3         136.62
         211.87              4         268.52
         127.12              3         618.56
         211.87              4         517.30
          63.56              2         437.55
         444.92              6         218.96
          63.56              2         234.39
         317.80              5         430.59
         211.87              4         272.28
         593.23              7         463.04
         444.92              6         379.22
         317.80              5         134.76
           0.00              0         265.65
         317.80              5         312.10
         593.23              7         151.01
          21.19              1         385.95
         444.92              6         213.84
         444.92              6         433.81
         211.87              4         296.02
         127.12              3         400.93
          21.19              1         129.09
         127.12              3         242.72
         317.80              5         253.55
         211.87              4         250.97
          63.56              2         316.43
         127.12              3         348.42
         127.12              3         426.49
         127.12              3         357.46
         317.80              5         315.72
          63.56              2         375.36
         127.12              3         158.83
          21.19              1         263.41
         211.87              4         214.59
         593.23              7         194.32
          63.56              2         203.67
          21.19              1         447.18
         593.23              7         541.18
         127.12              3         458.81
         211.87              4         242.20
         444.92              6         259.30
         317.80              5         275.65
         593.23              7         187.85
         953.41              9         309.37
         211.87              4         323.11
         317.80              5         294.97
         127.12              3         351.76
         127.12              3         354.95
         127.12              3         322.53
         593.23              7         398.59
           0.00              0         144.26
         211.87              4         311.08
         127.12              3         162.67
         444.92              6         483.38
         444.92              6         348.59
          21.19              1         272.19
          63.56              2         394.26
        1165.28             10         201.18
         444.92              6         251.70
          63.56              2         324.53
          63.56              2         292.95
         593.23              7         284.34
          21.19              1         224.46
         211.87              4         179.99
