      #Soft_ZPE      #Soft_ZPE      #Soft_ZPE
   #Erot(W)cm-1             #J    #Speed(m/s)
         909.47              6         163.77
         326.25              4         464.35
           5.54              0         448.02
         211.18              3         310.89
         264.54              4         353.70
         147.59              3         506.34
          47.91              1         681.01
         150.80              3         538.35
         141.53              4         452.01
         166.54              4         400.46
         338.20              4         266.71
         138.63              3         382.52
          25.09              1         643.40
         138.78              4         376.88
         154.22              3         246.68
         216.63              3         260.83
         324.52              5         592.02
         470.36              5         456.29
         246.47              4         476.66
         257.11              3         686.98
         376.33              4         521.68
         399.12              5         327.85
         277.93              5         347.29
         221.30              3         694.52
         449.59              6         522.68
          42.24              1         470.08
          37.70              1         720.76
         281.02              5         275.08
         282.08              4         253.66
          37.72              2         723.66
         545.06              5         328.67
         342.89              6         349.86
         285.95              5         378.48
         160.30              3         590.26
         489.46              5         327.05
         624.00              5         459.13
          91.63              2         468.64
         447.37              4         298.53
         272.89              4         291.98
         187.10              4         573.17
          90.50              2         446.12
         289.31              5         453.91
         558.54              6         472.98
         210.67              4         274.93
         187.98              4         481.86
         256.75              4         727.61
         196.60              3         388.05
          39.10              1         658.37
         527.01              4         542.42
          46.04              1         509.27
         224.35              4         304.18
         249.25              5         289.05
         401.72              4         417.89
         198.65              4         558.89
         141.63              2         373.07
         460.12              5         335.95
         218.00              4         415.58
          57.21              2         220.05
         102.43              3         486.37
         189.84              3         606.48
         320.65              4         322.07
         251.16              3         511.61
         637.03              7         228.17
         295.34              3         586.73
         149.07              3         220.99
          77.17              2         452.99
         472.98              6         545.58
         626.13              7         453.64
          79.81              2         437.77
          24.32              1         462.98
         601.46              7         621.89
         628.90              5         403.28
         281.87              5         370.59
         546.81              6         513.85
         194.01              3         344.94
         148.10              3         513.09
         581.46              4         374.80
           3.29              0         328.97
         523.16              4         467.63
         291.90              5         433.08
         182.75              3         312.16
         288.01              4         198.76
          17.40              1         383.88
         590.08              5         248.50
          90.28              3         631.08
         315.72              3         278.96
         307.27              5         351.53
         637.27              7         303.86
         372.72              5         572.44
         444.38              5         391.60
         597.43              6         304.09
         288.82              4         657.68
         166.29              2         499.45
         180.74              4         805.28
          84.11              2         770.09
         283.02              5         384.01
         207.95              4         467.25
         104.73              2         455.71
         179.88              4         542.02
         430.22              4         438.82
          54.75              2         845.53
         107.80              3         592.45
         158.09              3         805.11
         313.54              3         579.28
         385.97              4         641.36
         260.44              4         455.71
         371.47              6         572.06
         466.92              5         377.24
          60.12              2         469.81
         160.41              2         243.77
         854.84              8         227.80
          44.58              2         540.35
         200.36              4         174.07
         461.21              6         505.97
         694.54              7         341.84
          47.07              1         723.80
         594.06              6         339.10
         154.32              3         485.10
         237.83              4         276.49
         130.95              3         306.43
         168.75              3         447.68
         501.88              6         399.43
          86.56              2         375.95
         230.85              2         511.02
         209.44              4         233.45
          74.32              2         481.59
         289.90              4         654.41
         240.77              2         676.83
         397.41              5         493.65
         246.92              4         345.63
         149.87              3         788.36
         279.40              4         774.77
         284.73              4         263.77
          68.07              2         640.93
         211.64              4         781.39
         138.31              3         330.75
         112.50              2         258.02
          82.19              2          57.24
         197.83              4         123.34
         166.02              2         291.41
         142.84              3         411.67
         328.34              3         220.53
         602.83              5         251.57
         313.42              4         435.64
         197.74              4         662.02
         327.96              4         629.69
         476.16              4         255.98
         279.08              4         352.54
         197.24              3         760.32
         208.54              4         439.97
          60.88              2         952.64
         164.14              4         384.05
         132.94              3         531.72
         673.02              7         464.97
         565.95              7         419.10
         490.42              4         471.55
         344.44              6         306.06
         175.06              3         320.61
         204.11              4         383.65
         135.16              3         427.89
         566.15              7         617.51
         145.38              2         554.18
         151.78              3         804.83
         492.12              3          98.04
         412.03              5         652.06
         473.06              5          89.29
         254.22              4         206.82
         131.64              2         724.05
          37.75              1         335.68
         461.56              5         561.42
         667.54              8         345.33
         133.06              2         736.65
         118.23              1         514.75
         106.96              2         447.57
          75.97              1         465.51
         496.73              6         570.33
         318.02              3         632.71
         222.60              3         243.25
         156.33              3         344.18
         800.35              8         158.33
          16.28              1         463.02
         459.26              4         229.27
         722.73              8         414.09
          43.73              2         565.63
          84.94              2         527.22
         145.53              2         717.34
         476.36              4         282.12
         195.95              3         744.70
         508.18              5         536.07
         582.86              6         301.62
         423.28              5         313.62
         581.97              7         265.35
         226.70              3         479.06
         218.80              3         510.31
         331.66              5         613.34
         206.57              3         523.26
         278.85              5         570.38
         476.64              4         471.35
         171.77              3         288.10
         510.86              5         391.07
