    #Hard_water    #Hard_water    #Hard_water
   #Erot(W)cm-1             #J    #Speed(m/s)
         155.59              2         302.29
         359.03              2         283.36
         782.19              8         936.69
         473.27              4         289.50
         480.79              6         303.42
         239.25              4         194.22
         237.21              4         284.55
         277.40              5         453.91
          38.09              1         402.58
          43.60              2         376.63
         199.26              2         333.05
         227.27              3         315.79
         475.70              6         305.56
         199.50              3         576.48
         111.42              2         569.46
         203.87              3         305.75
         332.96              4         520.72
        1155.18              8         679.63
         677.09              9         399.14
         312.85              5         649.29
         249.84              3         391.22
          89.15              2         362.57
         129.93              3         530.19
         428.80              4         570.90
         318.63              6         184.72
         194.31              2         566.15
          15.35              1         268.24
         301.64              4         994.52
         318.62              4         694.13
         931.53              7         264.22
         374.99              3         310.09
          44.81              2         134.22
         560.39              5         887.67
         884.30              6         347.23
         287.20              4         620.22
         139.64              2         226.43
         246.89              4         513.78
         365.36              5         624.74
         963.70              7         225.41
         321.48              4         753.29
         632.39              5         402.94
          45.53              2         549.20
         138.05              3         270.11
         230.17              3         553.34
         144.99              3         181.60
          73.60              2         309.20
          55.84              2         721.20
         219.47              4         350.95
         291.18              5         344.58
         212.07              4         362.84
         550.32              6         367.33
         498.94              6         355.07
         467.28              7         424.04
         230.71              4         696.73
         992.58              8         522.59
         513.65              5         281.81
        1239.34              9         393.16
         609.94              8         675.02
          95.51              1         238.01
         798.66              7         828.41
         299.90              4         387.53
         346.93              5         598.26
         327.88              5         343.49
         134.54              4         833.05
         498.30              5         899.20
         422.82              5         580.29
          37.76              2         441.59
         867.04              8         279.52
         249.57              4         515.22
          53.94              2         356.49
         234.31              4         469.58
         418.76              5         370.50
         118.51              3         468.59
          33.16              1         679.69
          59.25              2         491.31
         856.17              6         332.94
         486.97              5         262.82
         729.22              8         616.42
          91.05              2         321.86
         267.69              3         559.37
         547.92              5         547.09
         127.93              3         415.97
          54.23              2         272.96
         518.71              4         577.67
         435.99              5         702.63
          79.67              3         435.06
          93.54              2         790.94
         299.65              4         282.13
         734.58              9         558.70
         264.07              3         161.05
          87.48              2         360.26
         566.16              6         500.08
         108.68              2         405.73
         730.40              7         606.61
         300.20              4         506.96
         801.06              8         702.27
         169.98              3        1048.40
         281.31              4         301.00
         207.59              4         255.95
         313.28              3         274.14
         567.09              6         229.62
         143.04              3         148.23
         163.02              3         412.57
         186.32              4         510.38
         611.35              5         415.06
         322.85              3         540.71
         480.98              5         692.63
         141.96              3         271.71
         277.29              5         325.35
         476.43              7         960.78
         444.68              7         113.37
         469.23              6        1007.27
         103.45              3         110.61
         145.52              2         266.18
          49.15              2         287.74
        1201.19              8         437.10
         417.77              4         572.88
          39.67              2         225.77
         325.98              5         376.89
         575.52              5         435.72
         253.50              3         653.87
         652.61              6         355.20
         907.82              7         447.78
         973.64              7         255.52
         140.74              3         583.51
          25.71              1         529.49
          41.17              1         148.89
         373.90              5         256.34
         106.60              2         562.67
          40.45              1         284.96
         136.66              2         353.80
          82.11              2         682.27
         282.16              5         473.95
         522.97              5         407.51
         417.26              6         535.01
         210.50              3         286.07
         605.75              6         485.96
        1692.78             10         664.11
         887.34              6         780.23
        1137.73              7         177.24
        1072.70              8         728.69
         484.74              6         527.84
          41.82              1         476.94
          12.48              1         688.62
         130.82              3         512.02
         146.84              2         368.36
         401.72              5         990.45
         223.12              3         295.04
          68.08              2         315.30
          26.38              1         336.15
         197.85              3         261.67
         468.69              5         533.20
         409.55              4         532.79
         230.58              3         828.29
         806.83              8         676.61
         298.81              3         347.88
         305.50              4         299.45
          46.05              1         389.72
         241.40              3         658.52
         378.40              4         311.65
         409.98              5         454.94
         376.09              5         457.24
         589.37              6         613.97
         132.16              1         454.59
         323.49              2         326.30
         975.24              6         205.19
         135.93              3         354.85
          71.02              2         724.53
         284.54              4         259.04
         432.31              4         153.94
         281.94              4         474.58
         356.42              5         531.64
         852.91              9         605.81
         478.09              6         615.02
         144.85              3         128.83
          30.83              2         191.07
         103.31              2         176.13
         116.55              3         190.78
         591.87              7         503.80
         273.66              4         370.49
          41.50              1        1083.39
         409.28              5         155.72
         411.92              5         477.70
         636.22              6         148.40
         295.12              5         369.99
         297.93              5         645.73
         459.75              5         567.56
         361.14              5         562.93
          30.63              1         351.98
         406.44              5         452.15
         862.96              7         325.34
          77.90              2         733.69
          67.53              2         730.02
          83.89              2         429.65
         243.74              3         424.65
         445.00              5         560.68
         389.45              5         421.24
         228.66              4         311.35
         394.32              5         359.73
         196.94              3         622.98
          75.34              2         249.84
         379.40              5         254.81
         180.34              4         332.16
         348.99              4         455.66
          79.78              3         529.46
         335.49              5         135.76
         411.23              5         794.19
          47.02              1         130.59
         252.42              4         370.47
         116.73              3         202.67
         876.75              7         259.35
          86.46              3         683.84
         669.07              7         117.84
         565.54              7         763.77
         402.32              5         287.12
         333.72              4         705.87
         401.89              5        1002.36
         203.15              3         313.41
         627.29              4         455.92
         430.30              7         292.86
         401.14              4         602.65
         436.63              4         896.03
         138.41              3         721.36
         542.17              6         353.71
         313.44              4         351.35
         196.48              4         259.90
         315.15              5         493.33
         345.96              4         480.38
         277.17              5         464.77
         109.89              2         150.11
         675.73              6         511.37
          83.52              2         518.26
         357.52              5         400.10
        1346.63              9         446.84
         122.95              3         459.11
         163.29              4         472.62
         865.99              7         997.46
         270.73              3         314.67
         125.12              3         233.28
         326.86              5         225.07
          24.02              1         326.76
         251.59              5         291.52
         143.32              3         227.31
         164.99              3         312.41
         180.68              3         747.09
        1360.56             12         292.99
         248.67              4         728.30
          55.28              1         633.64
         233.08              3         368.33
         150.62              2         281.05
          50.29              2         235.28
         206.54              3         381.40
         121.95              3         298.19
         240.44              4         785.15
         294.42              3         375.58
