   #Erot(W)cm-1    #Speed(m/s)
         908.48         230.06
         445.53         430.41
         350.66         742.64
         395.05        1009.91
         252.31         415.24
         240.02         338.19
         100.15         286.39
         101.39         699.04
         117.07         444.13
         390.72         509.62
         595.43         327.32
         932.32         557.08
         191.36         476.78
         143.63         362.70
         646.26         238.96
         178.07         226.21
         323.76         479.94
          83.11         556.94
         396.01         280.50
          78.15         477.76
         168.73         469.49
         459.66         288.07
         131.83         517.24
         274.90         898.34
         247.63         265.19
         320.39         391.90
         346.00         836.92
         298.92         439.13
         104.11         700.46
         703.74         446.30
         254.29         354.23
         510.11         105.61
         128.46         224.16
         166.70         377.45
         234.56        1112.07
         183.90         314.84
         184.35         790.12
         116.74         405.93
          29.81         605.91
         237.55         390.39
         107.26         387.88
         370.17         316.50
         595.42         375.58
         303.17         579.65
         158.10         517.75
         811.85         353.65
         354.05         591.99
         587.36         489.20
         104.13         484.25
        1121.97         343.43
         639.85         725.85
         425.44         492.26
         509.62         794.62
         233.57         331.40
         163.91         631.07
          97.44         778.14
         628.10         467.02
         268.06         735.04
         911.57         539.25
         189.38         748.98
         260.62         724.66
         740.30         565.64
        1567.16         505.47
          67.53         251.81
         323.33         567.89
         494.11         978.46
          41.33         932.94
         525.71         446.32
         327.49         292.48
         369.46         160.82
         819.60         567.75
          22.43         296.95
          24.62         327.15
         916.64         401.64
         773.44         567.66
          47.52         555.66
          36.62         365.04
         148.16         628.30
        1828.87        1137.14
           8.73         204.61
         301.43         309.60
         639.86         684.01
         686.56         452.64
         695.61        1015.41
         362.57         626.85
          30.46         720.67
          97.08         280.73
          57.44         657.39
         252.63         376.22
         500.63         639.85
          84.96         295.64
         219.32         295.28
          94.89         242.36
         574.34         626.93
         370.63         890.56
          28.53         257.58
         112.82         485.52
         444.81         481.85
         726.57         509.34
         453.85         215.10
          13.48         890.00
          16.72         373.44
        1703.28         176.41
         307.93         146.04
         386.60         486.17
          20.89         896.96
         618.52         224.09
         364.20         528.01
        1467.36         187.62
         293.03         406.17
         119.63         671.11
         158.36         493.95
         193.79         367.85
         216.50         258.76
         702.98         161.05
         216.35         739.19
         103.76         590.08
         244.97         350.83
         503.72         635.83
         466.12         373.37
          37.07         669.67
         570.83         854.68
         294.83         248.68
           9.09         452.73
         260.72         143.97
         889.52         119.13
          63.78         305.52
         757.11         345.78
          94.86         208.22
         256.67         704.44
         575.90         446.04
         393.42          74.92
         724.37         244.95
         630.60         826.86
          93.60         509.68
         653.22         353.95
          34.76         397.32
         190.25         140.47
          75.17         674.94
         639.47         498.25
         471.42         929.85
         118.49         476.21
         354.30        1028.68
         339.12         715.12
         723.41         506.99
         274.88         402.80
         571.04         176.99
         742.93         469.38
         254.76         278.30
         124.32         198.54
          10.64         704.95
         121.73         224.69
         196.38         240.81
         245.19         647.78
        1475.47         477.36
         855.63         599.93
         648.24         378.82
         111.27         205.77
         194.06         422.82
         157.53         435.15
         724.46         279.66
         643.39         473.12
         525.21         120.69
         382.45         323.83
          83.61         457.15
          79.92         712.04
         530.98         413.75
         364.21         624.59
        2200.88         632.56
         321.93         401.05
         193.43         513.26
         187.58         425.52
         926.10         523.30
         569.32         489.26
         996.52         344.48
         374.80         717.22
         488.03         649.33
         343.59         235.98
         411.96         159.80
         369.13         285.78
         402.34         136.18
          50.92        1142.43
         192.26         580.70
         202.90         688.51
         672.15         764.07
          88.27         699.49
         583.38         461.24
         376.43         634.60
         239.64         416.36
          75.36         111.26
         199.52         610.76
         376.31         329.15
         604.17         678.33
         135.20         358.86
          93.29         540.06
         337.28         166.69
          39.33         244.84
         657.20         545.09
          74.92         462.54
         320.45         406.16
         415.50         223.55
         519.39         360.28
         177.14         327.98
         288.80        1117.63
         361.15         387.18
         121.49         394.51
         148.64         529.10
          38.74         409.58
         266.02         456.51
         148.43         584.89
          44.03         658.74
         972.51         402.84
         862.96         495.98
         314.42         365.70
         610.50         273.07
         527.29         690.08
         409.71         296.26
         951.32        1042.75
         313.29         454.87
         153.98         436.54
         658.30         275.09
         942.35         270.96
         788.35         615.41
         481.10         661.14
          48.52         309.96
         104.93         532.38
         169.02         678.29
        1019.57         454.70
         741.16         622.43
         351.69         285.35
         462.54         625.46
          59.41         255.11
         931.83         637.34
         473.61         122.26
         203.33         359.05
         462.69         998.16
         204.01         285.59
         240.31         678.56
         145.92         328.92
          34.44         435.46
         434.26         646.92
         168.67         264.92
          80.44         342.59
         784.72         459.80
         298.21         680.71
         437.58         250.77
         111.68         412.25
         785.49         416.64
         901.24         334.57
          74.22         429.92
         254.70         829.28
         398.17         263.02
         101.04         635.97
         280.03         123.82
         387.99         594.20
         569.88         999.52
         363.18         467.46
        1066.53         507.26
         265.53         363.10
         260.77         531.07
         557.07         543.66
         512.43         727.90
           4.29         275.93
         214.27         344.49
         694.23         674.26
         200.73         350.67
         391.09         409.55
          26.65         366.73
         443.80         437.18
         518.70         510.58
         229.87         432.87
          68.87         684.47
          78.03         884.38
         220.56         814.36
         347.32         156.42
          64.01         392.46
         533.82         349.71
        1003.24         534.72
         723.20         341.86
         382.37         290.52
        1120.62         656.88
         206.25         522.79
         398.43         352.03
         234.08         367.96
          96.70        1017.07
         521.21         307.20
         350.36         375.74
          22.77         489.80
          16.81         424.52
         216.51         447.32
         678.08         329.50
         140.85         371.34
         864.30         536.85
          38.22         817.90
         116.03         351.07
         492.96          81.99
         172.62         439.05
         480.54         471.48
         134.56         235.36
         773.58         506.65
          42.08         772.83
          70.76         356.05
          25.04         133.26
          87.45         606.40
         337.64         293.88
         160.28         502.45
          69.71         229.71
         294.11         490.05
          69.28         623.07
         182.45          54.06
         285.93         482.46
         386.63         941.78
         766.26         410.63
          81.72         414.69
        1027.01         402.36
         565.13         949.69
         638.47        1299.04
         454.06         490.77
         920.34         688.88
         127.41         228.73
         729.10         581.41
         596.98         408.66
          64.22         220.92
          39.53         288.98
         166.50         413.32
         207.11         744.38
         199.79         574.45
         613.78         378.55
         224.79         900.03
          81.27         258.03
         311.21         462.06
         227.63         341.51
         302.54         471.85
          92.00         360.29
         167.36         262.21
          97.30         508.68
         541.08         521.38
         305.14         475.04
         266.81         680.51
         530.89         725.08
         207.21         290.06
         328.79         622.49
         194.85         436.33
        1389.78         149.34
         536.21         171.39
         813.09         437.37
          89.72         382.64
          12.44         180.11
         216.02         540.06
         435.72         325.74
         137.60         897.48
         732.85         691.23
         374.63         723.12
          45.37         480.93
         371.97         442.70
         327.16         340.42
         443.65         159.40
         896.68         483.00
        1263.48         185.88
         735.12         752.30
         179.68         362.67
          29.29         317.50
         385.50         507.69
         150.16         494.30
         289.14         788.80
         352.67         183.68
         295.94         413.11
         289.66         582.19
         326.42         569.12
         157.78         768.57
          50.87         378.26
         135.75         234.97
         371.89         256.18
         601.69         630.98
         151.14         315.02
         262.25         432.39
         271.26         759.32
         113.54         418.24
         362.11         651.74
         628.94         366.28
         482.55         684.75
          62.18         604.44
         353.69         372.31
         304.99         330.49
         884.60         648.94
         810.78         571.86
          99.33         457.25
         277.39         588.00
         179.26         429.40
         125.47         450.59
         149.35         340.88
         460.14         319.40
         320.59         600.67
         615.29         493.54
         550.31         158.37
         625.70         605.60
         170.31         629.53
         244.16         278.21
         539.91         217.54
          50.02         164.17
         360.37         356.08
          99.03         394.19
         280.63         804.37
         278.73         403.92
         929.81         572.22
         323.10         392.15
        1436.43         641.84
         252.92         418.72
          82.64         230.77
         178.67         385.42
         537.93         399.15
        1404.30         386.84
         443.70         443.82
         359.25         488.23
         223.64         525.13
         552.38         605.57
         398.05         638.15
         124.72         328.21
         297.60         356.14
         316.91         537.78
         193.08         890.76
          45.42         245.19
         491.03         267.42
         124.33         534.88
         203.92         149.06
         142.67         415.31
         466.28         824.01
          40.76         486.55
         374.86         553.10
         732.70         262.86
         777.18         186.44
         234.67         121.75
         597.21         214.98
          93.23         626.12
         255.21         459.00
         194.21         180.93
          90.93         425.34
         997.16         320.23
         230.93         364.39
         110.81         395.51
         306.95         487.44
         393.80         374.19
         426.93         665.78
          57.96         492.11
         424.33         286.53
         314.20         636.86
          96.31         748.77
         343.09         702.29
         143.11        1129.30
         288.00         703.75
         177.98         287.50
         287.88         545.07
         207.08         229.81
         306.04         413.65
         242.63         399.00
         133.81         510.83
         377.87         761.80
         241.82          45.74
         149.37         173.02
         605.31         865.13
          81.97         630.78
         270.85         239.87
          99.11         339.98
         568.54         225.32
         241.75         219.99
         304.36         898.99
         542.34         696.29
         459.53         749.54
           4.79         208.13
         444.63         376.26
        1854.19         732.05
         567.18         738.55
         800.34         416.80
         466.14         205.18
        1166.46         388.53
         430.23         260.21
         238.10         415.22
         839.36         260.65
          29.53         430.53
         196.54        1001.79
          61.11         648.18
          41.25         242.68
         309.93         671.11
          23.38         235.20
         351.69         441.34
          80.72         774.77
         597.18         326.96
         724.66         465.16
         783.07         555.55
         199.02        1162.46
         262.47         422.95
         113.92         552.79
         327.48         604.77
         720.94         330.80
         693.34         337.56
         270.73         711.34
         467.83         333.55
         466.43         978.84
         854.60         164.94
         157.44         556.87
         120.69         342.13
         116.43         347.69
