 # Soft ZPE restriction, Energy (cm-1), speed (m/s)
 #Water ZPE (DMC): 4713.0629051, HWW ZPE (DMC): 12528.93462455
 #E_given = DMC ZPE + 3550 =21233.1103893624.
 #Dvib = Evib - ZPE
 #D0 = E_given - Erot(W) - Erot(HWW) - Evib(W) + Evib(HWW) - E_COM,E_COM=0
 
   #Erot(W)cm-1    #Speed(m/s)
         163.65         407.30
         106.06         168.73
         191.81         319.03
         244.34         506.76
          45.65         381.60
          55.95         697.21
         164.82         479.94
         455.29         165.03
         274.38         481.39
         253.07         340.84
          38.84         409.93
         140.97         505.78
         267.03         527.79
         438.39         388.12
          81.28         392.45
         423.68         340.60
          90.27         516.20
         295.98         365.68
         196.60         377.56
          75.28         508.57
         327.09         342.95
         149.03         431.10
          99.10         360.33
         252.29         385.17
         305.81         553.40
         130.12         189.27
         167.17         463.69
         325.03         240.64
         211.31         162.76
         101.18         451.10
         200.50         527.27
          23.80         598.94
         245.75         454.02
         103.21         321.75
         183.10         381.42
         134.63         691.41
          84.30         181.00
         392.40         246.91
         162.20         573.25
         208.79         405.95
         145.35         424.63
         335.33         377.13
          49.91         266.56
         210.24         499.25
         558.03         104.67
         250.54         355.12
         229.22         254.59
         288.16         426.99
         244.13         417.72
         469.01         130.01
         143.56         289.16
         170.31         377.10
         564.02         169.27
         344.01         532.55
         145.66         392.78
         254.90         200.89
         133.63         422.18
          31.16         280.84
         345.22         311.91
         103.36         354.72
         569.54         213.33
         190.84         382.31
         348.93         208.55
         164.61         473.17
         307.33         372.96
         125.26         402.92
         279.39         329.63
          48.72         398.28
         160.44         319.60
          42.81         519.82
         325.40         144.39
         113.94         170.48
         242.33         476.60
          42.17         756.58
         178.67         336.53
         323.45         181.97
         260.63         490.65
          64.76         499.13
         228.76         535.76
         116.74         343.78
         155.96         180.23
         230.63         413.27
          37.06         156.23
          62.92         634.91
          69.98         109.80
          94.90         596.95
         418.77         386.40
         106.63         545.72
         127.45         242.11
          78.98         574.28
          72.91         614.24
          64.19         224.14
         151.90         293.89
          30.00         666.02
          33.51         454.59
          75.95         192.53
         372.69         464.76
         405.03         248.74
         325.48         473.61
          77.50         546.02
          61.95         528.72
          99.81         266.85
         144.34         348.61
         110.57         421.66
          58.92         593.20
          80.34         662.65
         202.87         277.37
         102.29         427.99
         184.88         270.39
          51.47         266.30
         490.65         254.36
         204.48         340.33
         378.72         314.22
         105.44         539.39
          31.28         612.53
         268.68         222.04
          21.11         325.08
         179.74         301.53
         215.05         406.60
         177.67         599.50
         111.59         337.44
         280.48         232.56
         108.01         325.30
         230.86         283.40
         118.89         412.81
         142.52         553.81
         427.44         138.13
         159.46         475.10
         152.51         529.32
          84.67         347.43
         257.80         292.07
          19.94         638.05
          51.52         487.79
          27.74         527.00
         173.25         302.85
          85.90         465.61
         208.23         334.21
          57.51         309.74
         106.47         499.44
         220.11         146.26
         194.10         430.61
         301.28         348.49
          30.97         165.17
          94.26         322.38
          91.03         486.50
         332.02         259.43
         235.79         316.20
         315.34         343.24
         223.14         640.27
         222.27         620.89
         270.44         452.28
         379.47         249.36
         422.73         173.88
         161.54         212.13
         348.07         337.06
         103.46         378.31
          73.82         486.89
         467.28          46.94
         113.23         292.29
         164.90         518.29
         160.66         248.77
          92.67         695.87
          63.41         333.90
         336.32         197.81
         247.82         526.91
         139.26         358.80
         254.82         463.09
         114.58         407.41
         273.25         512.87
         103.31         157.49
         232.40         227.01
          72.32         437.67
         167.04         439.45
         187.38         141.47
          36.25         376.48
         367.65         199.95
         389.35         174.34
          32.20         184.46
           5.04         395.49
         133.77         572.56
         191.80         349.98
         123.75         325.82
         153.52         595.81
         179.27         364.43
         119.08         653.13
          41.07         389.19
          82.28         692.83
          19.28         574.69
         214.78         353.66
         245.12         545.54
          62.83         308.60
          66.50         511.41
          15.03         478.69
         351.31         213.89
         209.85         399.86
         199.03         365.59
         193.20         498.88
         425.00         208.12
         184.87         329.95
          54.43         546.52
         148.45         391.14
         177.78         385.80
         221.57         344.67
         252.31         415.24
         341.12         444.86
         240.02         338.19
         100.15         286.39
         410.53         405.02
         117.07         444.13
         191.36         476.78
         358.30         322.93
         143.63         362.70
          82.47         415.44
         178.07         226.21
          83.11         556.94
         396.01         280.50
          78.15         477.76
         168.73         469.49
         233.16         394.76
         131.83         517.24
          98.50         584.89
         138.54         350.24
         247.63         265.19
          59.91         510.59
         320.39         391.90
          12.53         225.91
         169.69         543.35
          36.60         532.80
         167.72         445.67
          11.69         670.51
         254.29         354.23
         210.89         539.96
         309.02         517.00
         510.11         105.61
         118.45         473.31
         100.43         431.32
         128.46         224.16
         166.70         377.45
         174.79         484.64
         160.95         338.33
         183.90         314.84
         116.74         405.93
          29.81         605.91
         334.70         304.63
         237.55         390.39
         240.07         494.62
         107.26         387.88
         224.81         285.24
         142.93         428.00
         117.75         281.58
         224.81         531.81
         455.87         362.21
         166.91         287.35
         167.84         394.66
         153.87         216.33
         117.99         254.00
          39.96         501.10
         272.11         411.94
          67.53         251.81
          84.86         283.43
         327.49         292.48
         383.32         244.53
         277.09         425.30
         369.46         160.82
          87.11         467.98
         433.52         371.60
          22.43         296.95
          24.62         327.15
          47.52         555.66
         132.58         559.63
          36.62         365.04
          52.23         477.66
         148.16         628.30
           8.73         204.61
         317.28         323.13
         100.11         463.90
         301.43         309.60
         108.87         506.15
         127.10         442.08
          94.69         485.39
         252.63         376.22
          84.96         295.64
         219.32         295.28
          94.89         242.36
         271.94         213.42
          72.40         534.29
         415.90         304.58
          28.53         257.58
         157.65         251.36
         112.82         485.52
         147.16         187.67
         275.06         278.97
         453.85         215.10
         189.81         502.70
          16.72         373.44
         148.80         225.19
         307.93         146.04
          18.25         354.79
         100.53         487.96
         165.87         305.46
         162.32         434.17
         119.63         671.11
         193.79         367.85
         216.50         258.76
         244.26         404.97
         103.76         590.08
         244.97         350.83
          37.07         669.67
         294.83         248.68
           9.09         452.73
         260.72         143.97
         225.97         262.90
          63.78         305.52
          61.68         517.53
          94.86         208.22
         297.83         424.00
         114.55         374.76
         288.58         424.98
          69.86         525.85
         393.42          74.92
          99.17         296.88
          93.60         509.68
         259.54         386.40
         190.25         140.47
         266.86         223.46
         140.28         232.31
         118.49         476.21
         277.32         363.69
         254.23         274.55
         133.29         445.89
         279.43         471.16
          28.86         398.53
         274.88         402.80
         254.76         278.30
         124.32         198.54
          10.64         704.95
         121.73         224.69
         196.38         240.81
         111.27         205.77
         194.06         422.82
         157.53         435.15
         499.65         277.43
         193.43         513.26
         187.58         425.52
         129.87         383.67
          66.79         495.61
         553.70         350.06
         139.04         469.87
         123.74         373.66
         286.15         231.44
         214.58         482.08
          39.66         605.96
         343.59         235.98
          98.08         246.68
