 #Speed(m/s)      #Erot(cm-1)
   449.639030181844        520.173664198711     
   335.396824106953        75.6816504062560     
   520.892484098656        622.973663882071     
   274.123064573381        837.027079667621     
   412.936188411847        306.637999584809     
   486.251117034361        71.3871975584760     
   117.728247538827        239.895262363684     
   331.845542698656        243.716797740788     
   551.430692335213        284.862725031101     
   369.202652868155        48.4738934955541     
   309.354798223134        200.391415143326     
   681.405085005119        112.836895242093     
   645.690986870547        60.8961511716476     
   318.454707444541        620.597493457842     
   191.474789906829        301.204389247914     
   182.450069884546        291.847037011008     
   415.824542455129        35.5815891570936     
   755.905570989946        496.516225556500     
   344.060165741071        225.509636034231     
   216.705995160693        173.440732338820     
   288.019423946452        548.985290906843     
   289.075311424341        216.104314709947     
   470.166534275311        37.2009751247323     
   358.053091283619        1115.53280720968     
   424.623992851188        1176.43618664944     
   623.610648019622        318.421072970103     
   1268.39688527368        342.690797913521     
   109.228936815865        445.731265043610     
   248.661410767969        345.541666007988     
   258.636675381451        59.7732180155530     
   337.528304387999        151.395494257707     
   614.340020598786        702.290430090959     
   368.068608538421        190.382322408884     
   242.864924195689        447.961914823878     
   262.788422281656        150.270035824775     
   215.860094707069        141.042407002820     
   247.125692619609        410.018499889883     
   642.353912196727        36.5340773101092     
   186.434992807834        137.630431943115     
   657.896119592542        291.406203475433     
   66.9380517497290        101.066844781769     
   411.073163415045        350.316390714716     
   363.549135032667        65.9962292573926     
   472.417020093362        220.421626554647     
   306.210138376614        46.8390461048908     
   760.712893463498        49.4738742511247     
   316.020864016880        157.422851006171     
   285.487481975108        477.644086473057     
   691.197278516633        115.105108537126     
   267.802179756718        101.653886297206     
   446.210166281546        105.332327440907     
   321.149400915989        208.659197754926     
   628.744534331291        187.699455877723     
   253.171554289250        411.240356721253     
   260.313124590663        156.915558540449     
   651.570536395756        142.808122824978     
   587.101988967402        141.957995791125     
   313.377467279159        293.920792329238     
   68.1161210600013        124.229039867323     
   514.888475866606        180.394094943290     
   429.776578815071        157.402909754355     
   367.597605602185        313.884437831307     
   673.259488281090        358.006526313479     
   476.260120185511        164.672233989372     
   784.499439805220        184.881805004866     
   70.9716052059228        208.428565070988     
   578.308587147700        183.742368092750     
   686.436782126134        161.293934982423     
   16.0693413394578        268.984297668090     
   444.163150566161        380.620058913376     
   208.083676859154        82.6132975791943     
   438.635190920571        177.814885220751     
   591.369555752981        236.858553892645     
   902.268401806620        127.799550317080     
   509.447172725797        53.1132468412407     
   662.489132066373        379.289675397522     
   705.983013074632        373.855130217613     
   316.724341995381        232.366587685086     
   547.346560112176        183.962927582557     
   369.658671587025        41.5270708152767     
   333.843096657157        509.852377432069     
   194.178659146470        307.923925008271     
   676.448113643881        553.410451551142     
   453.772682282163        116.055338893224     
   492.320826599207        80.7915525818560     
   229.988412213900        195.390188704845     
   551.542022644445        530.761987688541     
   195.782814346949        436.191656832440     
   505.518497352488        96.6454329139880     
   609.521041870089        136.410561706943     
   192.333506167445        673.042486383206     
   229.478094440414        477.206959998608     
   274.887693270799        315.461061369690     
   627.661105341327        1104.68060763812     
   509.238855143186        207.836562477407     
   236.006403040348        375.684447223103     
   163.375768533626        327.418323631848     
   415.545853960501        52.6861928931414     
   775.742233916959        820.068508392480     
   95.6687605279902        702.071880293340     
   204.957145716102        347.451439417399     
   288.204502683122        892.923678702908     
   341.273876505563        1412.34919268922     
   434.920763139384        716.894172239639     
   330.182046747596        319.748214097122     
   394.274774318372        180.882948656494     
   323.655010908901        333.498217874472     
   983.802757998025        125.789069631985     
   137.460657198537        725.162571055312     
   536.241389595834        249.929445088037     
   240.357105341745        312.826380926633     
   843.036473747260        102.948381932638     
   82.2106132395583        678.138151291773     
   249.954508682498        132.599898491615     
   428.517293646732        27.8062338438733     
   407.034132300532        234.380526616462     
   481.241937623785        398.618836512534     
   244.443483960291        305.868897177355     
   316.479591003072        452.065823396916     
   556.327997393302        159.513716658373     
   494.358338533165        314.933835572857     
   537.469059088344        1091.01174892221     
   216.415904052638        168.509853586108     
   184.488579178633        338.997676281853     
   359.043459652546        88.7690792043182     
   251.567588902540        223.644236618926     
   402.802662622083        206.739889476986     
   625.294621456395        158.965705574757     
   157.893830762895        189.979526823690     
   702.553342432585        314.644463148842     
   553.855285187356        634.493963529215     
   578.410054093432        174.655476946359     
   440.567965625272        196.065105488491     
   492.811440508744        209.749872176136     
   319.754087080617        1276.23096921466     
   751.223132894278        620.705884056487     
   651.970704749545        79.0053324478003     
   403.335897075912        418.133854758584     
   197.757179222853        319.385341503991     
   219.569747523193        71.5190347930048     
   496.636641784354        831.411521327185     
   228.732200210860        830.780912621398     
   422.045725790110        405.782103803402     
   202.721411278683        175.088799728214     
   393.100205832096        263.689245091328     
   446.255677382578        103.368921269371     
   676.404975003350        125.511594928833     
   111.121378172074        129.295462135417     
   268.374716466628        236.236221089178     
   240.956355152224        191.555933302031     
   207.906743267182        435.361110668083     
   257.511373233948        561.463749671443     
   506.665552636489        94.2592734986838     
   736.599029840530        84.2657473392933     
   485.481303609818        465.931054831031     
   1031.58492615060        598.313322953723     
   713.721758441030        424.587334599023     
   299.368240001615        354.553655483948     
   441.187622635856        89.6110378693728     
   482.354163478464        309.938031982668     
   469.226912555395        134.503682137449     
   246.678515763670        153.586067738407     
   122.837842131846        215.152869793806     
   381.625318332274        282.185630290054     
   644.987304995173        323.688422361418     
   456.960458364596        103.689477709725     
   419.080511207090        222.831921681402     
   555.267586418772        112.480914542334     
   459.479288737537        125.550786861990     
   322.880943944265        400.267348787366     
   290.199299807723        157.479543632444     
   203.411334380568        383.010015506645     
   486.613063257257        644.411721578627     
   192.140767806104        386.913289269289     
   264.013942983094        243.433461101689     
   473.567712094802        40.8493274472688     
   321.137768781556        230.058447541040     
   337.482694027884        506.206656643185     
   600.878086717492        187.857887280693     
   643.362985118889        687.175208204129     
   151.297160107227        258.519813177708     
   390.997641836154        88.3823152498491     
   199.351022526526        18.2381329602597     
   273.503482369364        41.9150878989365     
   494.086650031778        885.862193665504     
   195.138203743366        79.4907590340207     
   487.934968074116        858.882661661800     
   152.179922250689        73.7468149856764     
   448.113202010960        43.9306341975232     
   219.498937799852        401.578631062996     
   330.296834508174        37.7185309838852     
   198.327779793394        440.016821150329     
   96.5462257098565        31.4235833197140     
   300.700456104277        44.3210782824168     
   695.466842559878        42.4736079774714     
   444.732653672593        936.265537396971     
   211.874894251278        244.098122203999     
   224.704521779788        965.460758607909     
   380.349476656771        131.050454552223     
