 #No_Constraint #No_Constraint      #Hard_water    #Hard_water        #Soft_ZPE      #Soft_ZPE        #Hard_ZPE      #Hard_ZPE
   #Erot(W)cm-1    #Speed(m/s)     #Erot(W)cm-1    #Speed(m/s)     #Erot(W)cm-1    #Speed(m/s)     #Erot(W)cm-1    #Speed(m/s)
         131.75         558.31           278.23         273.19           144.73         370.34
          94.88         423.84           167.84         382.91           426.00         348.87
          43.66        1100.60           110.11        1059.34           141.71         398.47
         548.89         712.54           811.30         802.31           216.67         377.98
         297.31         645.82            34.47         418.98           166.11         542.90
         229.65         793.09           291.29         553.65           146.00         255.38
         331.54         572.33            32.43         338.91           131.93         280.57
         364.09         151.55           602.92         519.55           188.06         552.97
         299.44         547.87           276.72         137.77           385.54         468.51
         444.98         683.77           167.65         488.10            65.56         355.81
         161.83         236.44           754.71         372.03           222.55         597.96
         533.71         384.91           109.12         944.65           217.22         249.04
         343.61         894.04           608.98         445.23           180.61         284.79
         232.90         564.45           792.89         608.56           109.40         555.55
         300.52         962.26           923.88         596.27           153.58         221.91
         377.71          99.78           147.67         156.02            71.15         583.06
         319.86         585.76           340.64         245.23           252.45         309.16
         860.10         272.38           247.57         467.91           193.95         215.61
         297.70         645.93            75.48         282.80           554.66         304.15
         104.00         524.38           129.70         465.73           232.91         445.27
         461.38         176.99           887.82         358.50           354.34         168.79
         585.55         548.89           113.34        1042.02           302.46         215.23
         986.57         486.65          1171.01         910.81           295.26         513.03
         538.25         126.25           287.67         293.39            13.03         358.62
         242.36         243.36          1360.98         418.06           375.45         459.37
         206.78         412.73           507.68         253.39           278.23         273.19
          30.43         192.45           218.05         491.69           167.84         382.91
         798.05        1115.58           271.99         145.25            28.46         406.99
         995.31         663.51           389.42         409.72            22.42         676.92
          72.43         511.33            42.02         328.05            34.47         418.98
         821.60         808.36           448.57         755.79           291.29         553.65
         439.46         164.41          1285.71         525.72            32.43         338.91
         361.71         137.94           214.29         675.49           276.72         137.77
         453.24         457.53           656.49         957.99           460.63         277.12
         354.20         113.29           384.98         393.46            33.86         598.92
         764.23         458.18           926.80         172.45            67.85         181.87
         349.50         609.12          1123.40         397.19           365.10         213.66
          25.15         587.89           544.22         572.52           317.03         454.77
         527.15         635.48           565.94         709.10            84.59         267.43
         239.36         352.61            71.67         253.97           224.16         558.27
         168.91         432.34           706.88         897.10           167.65         488.10
         389.45         529.64           136.13         669.84           464.68         232.20
         258.17        1109.48            95.82         672.34           147.67         156.02
         270.49         445.50           151.25         466.78           340.64         245.23
         607.48         858.91           463.67         579.25           137.13         256.70
        1325.84         744.66            77.47         418.55           123.83         228.26
         401.73         380.12           327.51         355.39           272.31         124.40
         255.25         354.65            50.83         432.29           247.57         467.91
         563.67         539.47          1306.74         324.35            75.48         282.80
