 #No_Constraint #No_Constraint      #Hard_water    #Hard_water        #Soft_ZPE      #Soft_ZPE        #Hard_ZPE      #Hard_ZPE
   #Erot(W)cm-1    #Speed(m/s)     #Erot(W)cm-1    #Speed(m/s)     #Erot(W)cm-1    #Speed(m/s)     #Erot(W)cm-1    #Speed(m/s)
         594.52         398.27            96.63         477.68           264.91         414.86
         271.56         789.63            90.30         371.57           226.36         445.39
         960.02         154.81           590.51         665.55            35.03         315.77
         225.13         189.92           137.85        1038.58           113.74         292.56
         529.40         263.63           398.95         297.63            84.86         240.47
         305.26         453.66            88.92         689.09           360.59         233.27
          23.99         657.21           335.07         462.60           333.69         253.33
         826.40         595.54           327.43         582.67           126.88         180.30
         274.92         450.17            66.26         623.23           123.05         410.66
         270.24         313.22           617.85         223.34            39.88         609.92
         391.01         481.00           275.46         431.42            82.82         497.29
        1995.93         397.02           393.48         401.91           179.19         201.85
         356.72         517.24           763.66         654.65           368.44         416.18
         243.00         569.07           145.62         389.24           388.68         408.89
         164.15         504.63           147.92         216.15           223.37         279.96
         230.38         401.20           110.78         193.34           169.56         568.54
         307.31         592.08           622.10         449.14           309.17         309.71
         482.06         625.43           566.15         727.81           167.97         284.66
         165.39         319.52           237.13         555.15           105.96         528.66
         614.64         322.00           366.15         361.05           325.08         147.33
         444.78         663.17           226.22         437.02             7.79         477.13
         562.47         265.10           157.46         234.82            20.55         246.54
         733.46         616.55           357.46         384.70           238.68         554.22
          37.35         384.24           203.78         567.26           317.30         155.47
         856.76         237.38           282.16         275.80            95.18         314.48
         542.38         383.49           669.55         365.33            71.86         350.31
         447.97         525.80           622.38         747.43           238.43         329.28
         310.06         644.91           327.19         479.45            89.99         679.82
        1160.06         411.25           761.36         467.21           274.73         429.23
         259.68         693.32           175.98         416.23           396.96         459.95
         830.82         364.01           532.79         457.16           231.02         347.47
         661.56         222.15            17.39         627.66           204.10         289.58
         476.57         294.69            55.79         121.26           195.41         572.58
         539.69         607.87           137.74         750.84           320.51         406.70
         215.36         637.22           302.11         544.07           249.15         160.73
          51.18         572.82            87.44         652.25            98.40         469.13
         146.81         406.56           216.10         439.48           350.48         144.78
         368.28         260.97           656.80         814.47           329.05         183.21
          88.24        1001.56           243.64         135.56           254.68         396.67
         128.07         324.61           227.97         469.07            77.06         419.21
         320.59         402.24           117.62         549.51           423.63         292.93
         383.81         962.32           143.90         590.78           218.90         196.06
         426.19         236.28           201.65         957.73           351.35         159.80
         603.12         367.66          1097.47         850.32           111.77         402.94
        1186.31         693.09           880.11         257.25            39.65         273.41
         103.57         639.72           163.58         435.29           168.76         582.42
         433.34         294.16          1863.56         319.44           484.83         180.03
         180.36         517.97          2029.23         534.55            92.69         323.59
         172.65         167.34           464.56         473.23           307.76         458.63
         270.43         338.98           234.57         529.32           467.38         207.68
          21.27         414.83           353.62         618.27            87.44         325.56
         284.55         585.93           274.90         190.02           369.44         242.72
          49.74         826.98           364.19         613.62           183.49         523.15
         550.81         647.90           476.71         250.42           328.76         408.62
         328.53         712.00           430.30         601.45           191.36         417.85
         106.32         430.79            31.14         643.73           164.88         389.27
         427.87         620.73           165.41         416.21           347.17         118.10
         321.07         401.27           297.71         322.07            75.89         416.82
         121.64         886.80           104.21         272.70           220.91         357.25
         804.78         298.17           292.01         659.12           211.41         454.53
         620.80         633.78            68.76         816.14           265.51         430.39
          29.33         384.82           317.45         825.82           355.84         441.59
         358.89         613.44           208.21         282.92           243.32         506.34
         330.45         469.42          1147.10         574.21           137.59         275.65
         256.97         391.72           101.87         210.49           108.05         464.48
         247.19         697.30           336.04         787.80           243.69         528.07
         662.45         335.92           107.59         335.40           222.74         429.35
         612.63         162.05          1093.47         584.58           324.27         404.02
        1176.67         438.81           153.20         383.03           275.07         495.75
         398.97         694.08           261.95         221.96           329.37         399.79
         279.18         477.00          1317.17         752.17           318.76         482.69
         113.84         543.37           215.24         307.91           460.80         181.58
          91.58         271.58          1049.33         215.23            31.27         203.24
         291.10         412.91           460.51         389.80           257.65         303.62
         807.88         916.63            21.52         321.92            57.30         512.34
         139.93         590.54           191.55         465.10            91.96         659.02
         112.34         569.54           305.80         289.99           479.17         402.42
         253.85         576.32           394.82         424.98           203.53         422.28
         172.18         676.29           503.90         536.18            27.22         167.23
         167.00         337.63           216.45         395.76           298.52         292.83
         350.24         378.95           920.77         882.80           389.18         175.25
         359.85         156.87           254.76         381.27           119.31         170.08
         704.60         475.66           348.55         581.05           139.55         566.75
         690.46         147.03           430.93         314.53           277.52         211.24
         899.79        1230.64           643.49         275.75           233.03         407.05
         208.33         251.39           319.02          64.56            62.67         257.80
         218.51         539.04           421.91         593.92           220.03         414.58
        1144.31         347.87           662.29         352.67           155.73         277.43
         410.93         396.67           138.15         472.64           337.43         311.55
          56.28         184.82           387.89         287.30           158.79         428.98
         150.00         298.00           335.48         343.88           114.58         653.00
        1457.58         299.06           175.76         537.17           142.36         553.17
        1135.95         203.38           752.02         611.36           157.63         499.60
        1559.17         551.59           169.31         400.04            49.24         332.71
         542.93         415.57           677.79         744.68           225.31         248.50
         634.20         233.83           496.68         337.43             9.29         261.72
         466.67         707.10           567.05         536.22           159.97         294.56
         506.12         495.32           417.15         370.59           115.37         408.25
         415.38         458.95           827.20         561.80           176.64         121.06
         596.99         452.35           158.93         681.02            31.55         343.54
         668.81         404.04           350.26         566.76           188.07         316.86
        1137.44         720.56           367.46         576.65            44.98         261.50
         122.92         406.59           825.44         592.35           287.99         259.18
          46.99         356.47           596.30         340.12           156.14         354.79
         560.03         482.74           112.61         434.05           152.64         244.92
         166.92         222.97           159.15         499.61           166.61         347.78
         410.79         575.17           344.40         325.86           164.36         268.98
         414.13         182.99           363.97         686.59           387.70         223.04
         220.27         630.03            75.01         329.14            79.16         435.04
         169.30         588.65           527.06         421.68           223.68         451.00
         371.88         726.92           160.13         501.56            91.16         443.15
         105.42         450.40           167.23         431.01           210.33         352.67
         134.25         342.75           472.79         689.62           263.85         525.92
          55.05         311.16           236.31         387.64           204.29         299.98
         234.88         632.01           751.67         729.52            46.22         421.90
         253.89         811.90           299.66         935.00           302.78         456.01
         742.16         369.20           349.30         407.59           506.12         215.72
         464.50         825.33           276.85         352.86           196.00         344.22
         145.82         262.07           636.09         156.16            87.17         583.61
         198.48         775.52           738.30         884.32           231.28         386.06
         946.63         781.36           185.30         412.25           280.49         570.06
         221.08         912.31           410.16         460.41            11.65         353.58
         389.58         526.85            53.07         586.99           116.58         188.39
         493.12         453.36           157.18         617.88            25.72         548.62
         148.75         402.71            24.90         250.26           162.17         212.57
         354.99         582.89            90.41         297.11           153.28         368.27
         865.36         357.51           107.00         824.12            42.04         613.02
         158.70         822.50           402.38         807.42            87.23         412.79
         273.72         428.49           375.12         219.14           187.56         322.32
          49.24         739.01           108.26         327.40           333.05         324.46
         328.55         840.43           354.03         326.11            74.51         325.22
         698.57         407.73           353.06         556.84           215.88         373.86
         232.11         509.63          1325.06         293.61           562.36         188.75
         460.78         350.56           372.60         325.47            61.68         360.59
         169.08         300.78           998.73         469.06           420.83         425.12
         235.89         524.68           200.99         532.67           146.79         361.54
         190.03         690.67           635.93         475.54           156.56         274.98
         142.79         820.58           395.68         137.36           275.64         378.12
         573.34         423.13           234.31         317.26           312.57         423.61
         202.41         685.31           219.08         757.32           108.27         278.02
         306.28         459.46          1065.07         451.91            64.31         542.72
         544.23         610.75           280.32         243.51           439.50         325.83
         224.50         718.93             7.99         606.42           184.17         483.08
         168.37         368.51           238.04         648.77           280.83         528.08
          17.71         341.99           420.54         321.99           208.50         439.51
         483.88         597.98            58.93         454.05            46.16         474.34
          91.14         358.13           636.18         350.90            44.77         309.10
         136.39         580.06           171.99         403.47           192.50         278.58
         149.08         474.71           656.32         762.05           394.65         158.84
          40.71         659.90           287.51         510.72           473.62         350.45
         412.95         374.40            97.31         349.89           423.56         399.39
         618.28         305.74          1232.39         654.97            51.57         654.57
         194.13         258.46           117.94         458.50           107.14         133.93
         366.75         255.07           257.20         402.95           331.30         127.80
        1899.30         747.88          1072.31         335.04           408.84         175.21
          60.85         300.03           346.92         343.36           200.71         380.23
          90.62        1019.77           153.64         357.22            28.07         564.79
         299.38         631.93            68.70         232.68           444.08         368.62
         805.78         370.09           211.45         459.11           153.66         375.40
         159.32         356.82           696.27         447.63           268.92         227.30
         372.83         359.44           632.44         817.51           209.73         217.09
         102.12         591.11           428.51         788.34            54.95         600.33
         647.32         223.61            49.34         517.37            37.83         541.68
         181.71         667.52           458.15         669.04           251.67         238.12
          66.31         321.83            65.69         703.63           214.98         264.07
         107.73         243.02           174.24         364.80           364.22         446.91
         457.24         304.50           419.53         551.76           463.33         269.64
         655.23         756.92            20.32         303.04           341.07         187.76
         411.87         229.92           170.38         614.53            64.86         225.07
          71.36         423.34           426.59         335.15           360.04         326.70
        1116.25         854.42           256.76         402.64           245.51         284.63
         290.91         573.02           731.62         242.53           323.46         528.28
         341.58         220.63           424.60         466.24           113.13         509.25
         467.27         538.36           370.76         858.25           268.82         205.07
         105.53         223.36           257.11         566.22           156.50         629.62
         310.97         553.89           220.62         385.19           416.80         393.61
         452.00         333.40           663.67         575.49           531.39         234.26
         449.16         520.78           200.49         760.66            80.61         240.09
          63.70         466.16           291.18         363.51           473.67         273.62
         522.29         430.63           952.49         610.92            66.19         257.39
         367.31         281.77           172.86         180.05           320.28         261.52
         519.45         174.32           137.55         446.91            59.61         420.92
         286.83         284.39           631.58         670.47           380.97         214.70
         352.78        1083.91           592.14         263.34           197.61         280.92
         107.30         429.38           443.20         432.35           227.88         564.80
          61.54         397.47             8.04         845.90            65.03         372.44
         321.96         797.36           212.28         603.73           402.25         232.34
         290.96         543.39           469.27         165.39           295.81         144.45
         693.54         900.87           291.01         654.11           345.43         323.00
         255.96         989.11          1066.94         251.45            76.23         462.55
         311.45         567.42           329.41         693.74           217.26         287.04
         416.87         238.86          1025.29         509.92            39.23         620.82
         194.42         389.22           168.16         407.13            43.96         591.30
         350.64         604.52           262.94         327.35           419.26         319.30
         728.32         870.74           206.31         447.83            85.63         460.48
         331.07         678.28           224.78         780.39           330.74         217.26
         823.20         601.15           251.40         753.66           247.85         490.26
         287.10         522.66            54.96         443.04           240.35         567.19
         309.69         502.28           139.30         730.39           102.45         141.01
         115.61         382.83           548.50         304.02            74.18         221.07
          71.82         502.90           207.13         446.71           342.02         422.94
          40.02        1084.36           151.11         531.64            59.58         475.52
         402.83         507.01           170.53         467.10            25.24         603.92
        1022.67         108.39           114.46         583.91           170.65         241.36
         383.13         534.44           202.60         437.19           332.07         328.85
         301.44         273.65            64.67         622.99           128.87         342.23
         126.27         312.17           252.09         304.47           153.72         475.96
          65.28         537.09            74.77         709.88           173.20         506.36
          49.35         890.04          1801.70         344.83           346.92         325.94
         275.28         297.12           258.76         467.83           146.16         242.77
          92.57         387.17           125.85         745.38            86.51         238.88
         329.49         626.72            86.83         837.00           465.24         214.38
          99.57         292.52           220.43         411.54           249.24         597.64
          86.80         399.59           370.41         413.85            99.00         533.62
          52.24         354.23           904.51         472.71           275.61         208.37
         270.79         549.19           146.09         595.55           179.36         373.40
         322.06         449.18           373.00         633.86           221.67         577.37
         505.15         770.07           548.72         515.70           129.49         379.10
         147.74         384.88           588.49         467.10           227.98         263.13
         235.51         586.56           257.14         539.21           377.96         240.51
          94.22         551.34           178.60         893.61           210.80         561.50
         748.15         735.76           160.18         444.10           115.86         159.01
         513.48         385.28           882.22         883.99           275.25         504.20
          51.92        1019.58            78.64         402.37           323.21         500.41
        1884.61         493.67           168.54         178.43            40.34         390.99
         201.84         537.19           101.14         534.01           212.59         269.51
        1589.71         440.99          1002.75         555.41           423.98         340.44
         729.09         389.34           282.44         666.98           285.53         478.88
         275.02         473.30          1473.24         143.78            43.60         458.88
         346.39         203.49           615.03         464.76            86.41         172.68
         507.86         213.92             2.41         675.30            42.17         259.45
         215.22         540.56           189.60         358.49           121.89         559.76
         221.38         631.70           211.47         537.67            59.31         400.59
         962.84         295.40           377.22         393.08           136.86         387.92
         310.03         254.56           177.62         545.81           181.96         515.23
         387.62         134.39           135.87         780.05           305.94         391.94
        1352.48         440.20            10.56         155.52            97.14         694.07
         799.46         407.55           180.22         646.34            22.09         178.65
         463.11         567.57           341.25         425.39           103.66         276.29
          14.84         352.47            12.11         514.70           103.63         549.29
          41.80         309.18           397.34         444.31            90.30         371.57
         319.57         368.70           360.21         221.76           245.46         518.58
         208.21         630.31           228.98         871.38           398.95         297.63
         161.07         362.37            59.23         406.31            88.92         689.09
         639.66         257.69           314.70         536.31           267.76         242.25
          51.67         848.10           509.70         412.21            49.88         281.48
          38.42         824.66           689.28         279.72           275.99         471.28
         752.41         887.72           168.22         434.08           275.46         431.42
         442.76         333.98           293.32         469.57           393.48         401.91
         574.26         670.50           191.77         603.65           203.45         547.86
         701.27         837.59           292.38         213.20            64.74         358.56
         710.41         553.68           198.86         602.23           407.98         313.50
         516.29        1119.92          1354.33         192.24            84.68         501.98
         205.58         249.18           685.77         339.00           145.62         389.24
         795.31         446.83           488.82         329.48           147.92         216.15
         250.41         681.45           925.28         367.00           204.56         513.19
          26.71         220.91           264.33         446.75           110.78         193.34
          55.82         678.47             5.58         464.39           294.63         552.78
         828.26         419.77           408.18         656.78           121.83         302.78
        2264.92         588.80           300.19         585.17           322.90         132.12
         837.69         180.68           873.14         374.86           212.72         378.88
         263.44         174.58           495.20         192.13           204.84         155.82
          46.16         242.24            27.58         924.87            75.82         551.79
         553.38         667.61           217.66         468.11           366.15         361.05
         145.54         487.76           215.66         533.88           226.22         437.02
         550.48         374.49           865.93         697.40           174.58         657.34
         293.97         159.93           374.53         340.29           157.46         234.82
         229.22         733.73           165.71          86.66           357.46         384.70
        1005.49         235.06            83.14         689.09           203.78         567.26
         407.83         269.22             5.02         543.36           282.16         275.80
         150.59         453.91          1057.24         304.53           392.40         249.25
         157.24         465.28           517.66         451.70           106.31         317.69
         141.94         369.82           394.40         104.40            19.69         155.72
          99.88         295.97           791.56         352.42           227.23         383.31
         579.95         642.96           458.19         235.74            70.65         273.21
          41.79         283.62           160.73         869.33            92.05         444.37
          29.53         758.99           185.66         171.95           327.19         479.45
         532.26         175.83            30.83          55.72           175.98         416.23
         105.73         598.41           917.32         463.43            99.34         410.96
         275.29         530.43            86.78         450.38            17.39         627.66
         399.81         297.61           265.20         371.95            55.79         121.26
          40.62         641.00           238.53         557.81           244.85         305.49
         185.43         490.43           504.08         313.46           337.27         305.23
         170.26         269.07           349.13         521.99            87.44         652.25
         525.89         284.22           155.41         318.69           107.69         425.46
         154.06         648.14            38.22         716.72           262.55         314.73
         150.12         462.92           350.90         604.56           216.10         439.48
         632.95         358.16           386.64         333.20           221.24         308.59
         271.27         769.20           134.60         354.25           243.64         135.56
         447.93         861.71           511.74         510.39           227.97         469.07
           5.72         392.85            96.69         546.75           117.62         549.51
          33.13         517.89           540.07         616.98           143.90         590.78
         871.85         567.34            59.61         339.09           120.87         471.09
         159.33         267.53           971.59         624.58            49.71         615.54
        1122.49         289.96           351.94         366.18           163.58         435.29
         636.56         289.17            37.98         563.42           181.74         477.74
         461.10         441.23           919.80         428.90           214.00         383.22
         211.46         805.20           382.83         691.34           234.57         529.32
         135.92         642.30           327.59         283.26           274.90         190.02
          46.45         539.40           319.62         340.92           435.86         271.29
         338.84         411.66           434.90         666.13           476.71         250.42
         125.19         759.13           233.26         496.33            31.14         643.73
         596.53         431.52            47.84         965.22           165.41         416.21
         311.92         302.48           418.58         299.43           408.90         336.96
         395.49         418.26           448.29         639.37           104.21         272.70
         728.47         207.39          1300.68         444.99           245.02         397.80
         224.69         580.36           203.85         646.07           208.21         282.92
         894.50        1116.65            10.10         341.10           107.43         368.66
         282.73         593.40           178.53         428.12            90.89         211.17
         125.25         640.97            47.54         647.42           101.87         210.49
          68.02         739.98           712.34         953.26           117.69         579.27
         139.99         274.29           580.76         286.96           107.59         335.40
         793.76         597.24           958.44         298.06            68.28         551.30
         188.31         307.00           540.31         337.99           153.20         383.03
         679.15         175.77           648.89         551.69           261.95         221.96
          79.82         737.76           327.18         486.23            51.03         314.10
         378.77         305.21           119.38         558.90           215.24         307.91
         534.81         216.25           150.76         172.32           153.86         467.68
         803.61         222.92           205.67         587.30            21.52         321.92
         483.01         517.60           114.99         587.12            45.85         508.52
          30.46         638.67           974.20         294.81           191.55         465.10
         121.24         609.77            79.09         430.33           305.80         289.99
         404.19         893.84           374.39         446.82           216.45         395.76
         102.61         142.15           310.33         350.30             5.87         234.06
         208.88         430.93           209.51         465.07            62.01         281.07
         295.12         629.09           225.75         774.79           335.58         495.83
          88.67         773.41           221.02         386.22            53.13         173.82
         173.38         576.99           360.03         190.23           430.93         314.53
         589.14         351.81           996.25         332.27           113.13         213.96
          45.16         684.84           856.82         501.79           166.20         436.70
         619.43         676.26            60.16         409.24           319.02          64.56
         129.67         219.19           307.90         419.94           288.93         455.98
         198.06         517.46           431.59         173.83           138.15         472.64
         716.25         358.32           157.90         862.57            39.77         343.13
         512.67         728.55            96.57         383.77           228.22         379.24
         954.13         249.78           194.94         465.32            80.39         719.15
         129.87         693.14          1277.76         591.01           237.97         462.49
         585.43         475.98           199.12         426.26           387.89         287.30
         110.34         643.08           521.48         532.41           335.48         343.88
         532.52         549.34           541.69         676.71            82.83         430.36
        1458.47         687.18           855.77         271.94           175.76         537.17
         319.61         552.52           592.63         333.07            39.80         354.29
         477.19         873.60           237.58         368.01            93.55         377.68
         554.64         530.06          1259.70         219.10           166.55         420.97
         584.97         732.20           235.13         356.85           250.10         267.74
         515.72         477.20           127.58         306.29            41.40         504.95
         473.36         403.61           172.69         491.39           127.19         451.77
         711.44         755.66           369.27         610.36           153.03         432.29
         150.75         414.75           165.64         570.67           201.83         526.70
         256.98         268.87           923.68         505.65            41.43         357.17
          83.49         426.24           373.03         206.71           287.79         277.58
          95.95         430.70          1448.23         730.70           112.61         434.05
         219.24         690.83           147.00         226.81           159.15         499.61
         585.96         484.79           337.85         718.03            60.32         109.23
         266.06         456.02          1414.11         456.77           137.49         488.38
         679.17         698.18            51.84         465.72           344.40         325.86
         312.35         541.79           188.46         490.34           211.43         544.87
          55.49         374.09           526.04         852.73            75.01         329.14
         620.24         285.85            66.34         136.85            16.35         492.29
         649.65         477.88           475.94         928.73           160.13         501.56
        1229.89         250.50           180.84         478.15           156.64         500.84
         198.66         345.73           141.88         488.21           116.20         349.08
          84.51         365.73           293.79         303.79           236.31         387.64
          65.22         285.82            51.66         740.47           139.16         228.21
         278.64         408.74           452.96         577.89           109.81         419.06
         447.89         754.51           568.57         797.45           137.05         449.55
         124.33         580.25           276.54         140.66           195.49         343.14
         167.27         395.77           139.76         529.13            19.85         457.21
         502.33         568.04           109.92         339.90           169.43         437.80
         184.12         421.15           267.66         976.33            65.03         634.06
         276.20         189.95           228.26         651.43           116.52         418.68
         162.83         495.28           212.00         438.51            89.59         374.22
         255.01         380.42          1031.30         543.59           276.85         352.86
         318.87         275.70           114.03         264.18           185.30         412.25
         239.07         560.12           153.08         839.35           356.74         316.99
         606.16         382.97            90.16         199.08            53.07         586.99
         213.28         417.88           405.68         380.12           104.24         496.71
         192.93         626.12           492.61         688.15           384.53         244.38
         430.92         723.33           449.70         535.02            24.90         250.26
          22.62         380.30           244.75         270.85            90.41         297.11
         328.54         223.95            57.46         536.39           376.66         172.20
         396.17         413.00           783.26         168.04           289.23         222.46
         242.53         589.05            81.99         797.81           275.59         389.91
         535.01         195.69           821.67         788.13             3.37         420.55
         343.47         420.90            88.45         310.64           375.12         219.14
         954.45         907.46           119.49         463.54           236.60         367.51
         254.96         189.66           655.36         901.84           188.69         280.87
        1037.29         282.00           532.99         367.07           108.26         327.40
        1236.36         236.79           409.15         453.37           294.08         485.45
         117.92         525.95           298.72         434.20           162.28         580.05
         190.27         631.04            77.46         103.80            71.68         280.06
          14.35         574.41           572.22         466.03           372.60         325.47
         361.68         374.46           143.08        1048.29           151.65         173.70
         288.32         368.13           450.07         538.52           395.68         137.36
         195.94         433.12           218.27         295.67           303.86         189.79
          55.55         416.99           531.07         668.97           352.70         351.03
         111.15         515.00           364.32         451.59           280.32         243.51
         320.60         667.69           122.98         642.81           174.87         572.77
          40.97         386.65           180.36         570.07             7.99         606.42
          99.91         759.96           181.35         332.50           420.54         321.99
          36.85         392.48            84.47         445.36            58.93         454.05
          17.11         555.35           349.27         469.26           103.58         599.50
         713.62         606.02           613.80        1003.23           124.84         215.13
         442.65         353.39           424.28         317.09           171.99         403.47
         121.33         369.44           151.18         350.63           270.28         417.03
         412.33         640.42            23.20         561.37           126.01          56.79
         300.99         554.76           169.76         438.22            46.96         576.50
         190.95         428.30           457.84         523.95           287.51         510.72
          38.46         468.74           129.50         573.69            97.31         349.89
         360.21         378.35          1177.94         718.80           243.02         266.81
         666.28         625.68           386.29         454.72           446.00         360.28
         227.02         606.16           551.29         214.92            84.73         263.12
         542.52         520.55           416.56         382.57           117.94         458.50
          93.38         369.65           113.72         540.62            41.88         265.55
         482.72         291.99           860.09         207.59           248.78         388.41
          16.71         561.24           131.93         472.63           146.12         338.75
         233.45         415.09           653.25         669.94           257.20         402.95
         917.63         517.25           216.62         383.63            54.93         575.02
         415.70         511.05           797.45         801.65           346.92         343.36
         613.32         702.26           472.23         618.52             9.89         468.80
         816.61         408.16           247.80         591.43           153.64         357.22
         223.11         571.29           304.15         990.30            68.70         232.68
          36.71         547.38           353.24         414.64           221.30         338.51
         618.76         572.23            77.77         664.21           234.15         536.44
          59.19         509.88           506.29         319.77           132.17         361.56
          85.93         297.21           110.89         336.00            42.60         496.69
         132.05         547.59            84.78         509.24           113.06         503.93
         255.68         356.24            93.30         251.31            49.34         517.37
         115.28         538.53           235.33         477.52            65.69         703.63
         330.64         324.81           730.79         499.42           174.24         364.80
         190.34         983.96           529.09         731.17            20.32         303.04
         559.34         245.53            64.06         701.58           372.64         248.47
         330.19        1088.60           149.64         441.47           265.02         318.67
         878.93         274.35           518.82         396.01           170.38         614.53
         310.65         316.98           215.86         436.34           140.40         203.27
         531.96         490.50           506.64         631.17           256.76         402.64
         104.31         461.46           326.59         452.59           302.64         300.08
         370.55         360.44           257.01         353.75           421.29         361.30
         155.49         440.11          1014.31         405.51           291.18         363.51
          62.30         469.44           179.31         348.61           126.66         576.40
          47.43         420.41           672.03         355.75           172.86         180.05
         151.41         172.78           784.79         460.34           364.82         503.05
          91.51         775.23            46.43         590.43           151.75         277.58
         753.77         326.55           311.39         566.78           137.55         446.91
         157.68         362.03           255.15         148.33            51.66         290.36
         258.64         726.03           512.12         669.44           174.86         568.49
        1384.00         633.44           936.11         501.03           336.57         270.60
         868.74         185.24           977.00         662.07            62.93         286.99
         128.74         711.85           172.28         368.38           108.09         254.15
         853.21         903.72            18.25         495.12           469.27         165.39
        1224.39         587.76           138.10         968.68           243.77         257.37
         184.68         258.31           555.98         489.59           356.47         334.53
         128.35         502.75           705.11         676.19            34.14         483.30
          14.63         594.30           617.61         463.19            32.95         411.38
         157.73         115.31           825.36         798.43           101.59         365.02
         954.18         273.92            46.37         463.56           261.58         220.89
         873.39         323.99           586.47         172.72           168.16         407.13
         414.71         253.36           159.18         425.45           262.94         327.35
         332.88         447.72            95.27         653.25           206.31         447.83
        1188.15         833.34           702.58         899.66           182.43         432.15
         167.24         863.09           378.11         374.72           192.65         441.60
        2135.06         430.46           279.54         584.00            54.96         443.04
          66.07         444.33           444.71         966.29            72.59         661.11
        1347.72         493.83           128.30         375.17           207.13         446.71
         769.77         835.70           449.89         435.65           170.53         467.10
         130.12         301.95          1007.70         404.52            64.95         196.54
         141.31         269.61           525.75         150.77           202.60         437.19
         142.96         521.52           123.43         520.20           296.69         354.49
         571.95         538.38           487.54         727.74           252.09         304.47
         243.94         452.35           511.72         338.13            74.77         709.88
         131.54         268.24           645.94         591.21           159.42         247.24
         188.43         382.53           711.53         545.44           264.11         422.56
          66.33         625.89           170.72         854.67           177.22         441.21
         535.83         499.06           144.70         190.82           220.43         411.54
