      #Soft_ZPE      #Soft_ZPE      #Soft_ZPE
   #Erot(W)cm-1             #J    #Speed(m/s)
         139.88              2         446.23
         559.83              7         163.84
         277.50              4         434.39
         230.17              5         349.82
         588.49              5         371.35
         565.14              5         381.84
         428.27              6         433.62
         551.31              5         275.87
         399.76              5         346.98
         210.96              3         530.84
         149.25              4         524.53
          35.47              1         346.84
         153.35              3         368.20
         747.00              7         450.83
         208.67              4         686.80
         380.26              4         609.77
         646.53              6         442.29
         340.89              6         477.57
          97.01              2         727.15
         141.80              2         397.62
         337.44              6         471.12
         222.81              3         177.49
         981.58              8         102.77
         367.17              5         254.92
         245.86              5         670.56
          64.60              2         536.68
         589.08              6         280.72
         687.32              5         363.20
         369.24              5         538.50
         213.13              3         170.36
         532.99              5         486.18
         261.11              5         346.70
         119.87              3         504.09
          20.23              1         556.90
         149.46              3         753.62
         268.21              5         418.05
          63.46              2        1039.96
         257.14              4         368.06
         303.00              4         639.75
          70.11              2         245.16
          78.53              3         187.30
         119.54              3         706.28
         273.16              3         598.13
         166.62              3         396.73
         288.52              4         588.90
         102.19              2         207.12
         554.98              5         185.76
         201.77              4         348.92
         388.87              4         231.19
         261.57              3         257.90
         332.08              4         822.57
         508.39              7         554.13
          40.04              1         533.72
         125.22              3         436.83
         101.55              3         664.88
         177.42              2         356.48
         182.12              3         562.93
         411.57              4         236.08
         667.25              6         393.46
          51.56              2         617.03
         131.91              2         627.26
         655.53              6         442.52
         351.29              5         509.92
          80.51              2         611.56
         290.81              4         670.32
         270.96              4         361.97
         761.47              6         362.69
         215.99              3         448.53
         235.39              3         448.20
         189.38              4         795.97
         235.66              4         423.03
         136.67              3         151.73
         559.41              6         696.71
         194.48              4         510.35
          94.82              3         355.26
          52.47              2         269.65
          85.10              1         740.26
         194.83              4         493.39
         365.01              5         189.79
         223.93              4         511.30
         320.20              4         616.40
          10.82              1         668.76
         337.34              5         692.26
          20.07              1         246.96
         390.31              6         432.74
         236.61              5         495.25
         608.38              6         528.21
         420.43              5         616.71
         276.72              3         742.67
         543.98              6         431.65
         193.24              3         837.35
         287.36              5         227.00
         651.08              6         185.70
         649.35              5         505.24
         105.32              2         540.91
         309.12              3         264.50
         220.09              4         262.16
         465.45              6         394.27
         131.57              3         598.57
         296.83              5         577.63
         213.88              3         528.58
         366.11              4         222.28
