      #Hard_ZPE      #Hard_ZPE      #Hard_ZPE
 #Erot(HCl)cm-1             #J    #Speed(m/s)
         127.12              3         246.90
         211.87              4         209.44
         211.87              4         273.68
         127.12              3         376.76
         317.80              5         333.54
          63.56              2         260.93
         211.87              4         328.52
          21.19              1         356.07
          63.56              2         376.36
         127.12              3         227.89
          21.19              1         188.46
         317.80              5         246.88
         444.92              6         163.60
         127.12              3         344.53
         211.87              4         232.68
          63.56              2         263.67
           0.00              0         470.96
          21.19              1         237.31
          63.56              2         433.00
          63.56              2         481.38
         593.23              7         189.16
         127.12              3         279.50
         127.12              3         196.42
         593.23              7         358.11
         953.41              9         205.46
         444.92              6         154.22
         127.12              3         287.58
         211.87              4         293.42
          63.56              2         290.37
          63.56              2         525.39
          21.19              1         477.72
          21.19              1         353.64
          21.19              1         247.22
         593.23              7         296.86
         317.80              5         245.10
         593.23              7         283.96
         211.87              4         335.14
          63.56              2         296.74
          63.56              2         629.18
         317.80              5         346.20
         593.23              7         361.09
         127.12              3         108.52
          21.19              1         144.16
          21.19              1         424.38
         317.80              5         367.15
         211.87              4         282.76
         127.12              3         248.97
         127.12              3         170.66
         211.87              4         160.64
         317.80              5         381.93
         211.87              4         329.41
          63.56              2         130.34
         593.23              7         299.21
         593.23              7         210.31
         317.80              5         186.06
          63.56              2         289.86
         127.12              3         354.27
           0.00              0         187.64
         593.23              7         292.49
          63.56              2         138.35
          63.56              2         157.53
         444.92              6         273.70
         211.87              4         266.65
          21.19              1         196.45
           0.00              0         322.95
         127.12              3         209.63
         211.87              4         316.45
         127.12              3         280.69
         211.87              4         532.45
          21.19              1         384.16
          63.56              2         326.62
         317.80              5         237.57
         444.92              6         309.68
         762.73              8         193.46
          63.56              2         183.38
         211.87              4         152.86
         211.87              4         175.59
         444.92              6         148.34
         211.87              4         312.25
          21.19              1         366.18
         211.87              4         291.77
         593.23              7         419.52
         127.12              3         233.14
         762.73              8         282.42
         211.87              4         181.99
         317.80              5         137.01
         317.80              5         148.04
          21.19              1         260.71
         317.80              5         389.33
          21.19              1         226.42
          21.19              1         201.97
         317.80              5         194.09
          21.19              1         502.77
         317.80              5         283.05
          63.56              2         328.53
         127.12              3         222.57
          63.56              2         220.51
          21.19              1         248.15
          21.19              1         356.52
         317.80              5         198.67
         211.87              4         305.73
         127.12              3         132.01
          21.19              1         255.23
          21.19              1         403.80
          21.19              1         285.07
          63.56              2         197.75
         211.87              4         267.39
         444.92              6         180.87
         127.12              3         445.49
         444.92              6         197.11
         444.92              6         371.76
         211.87              4         416.99
         211.87              4         163.61
         317.80              5         268.18
