 #Erot(HCl)cm-1             #J    #Speed(m/s)
         113.13              3         180.10
         764.19              9         174.53
          85.23              3         413.81
          14.05              1         412.72
          85.93              2         236.71
         127.64              3         541.28
         218.30              4         465.79
         107.62              2         512.77
          37.23              2         340.25
        1005.25              8         182.25
         250.32              4         169.60
          67.10              2         100.79
          11.26              1          98.97
         149.25              4         186.32
         247.33              4         227.17
         173.77              4         159.82
         278.57              5         320.14
         283.77              5         251.32
         413.58              7         280.19
         394.30              5         228.18
         279.87              5         370.60
         619.42              7         243.03
          33.53              1         255.59
         314.24              5         527.47
         256.42              4         271.05
          39.11              2         201.32
         764.02              9         307.94
         751.49              8         328.31
           4.76              0         618.83
          40.56              1         262.19
          75.52              2         430.47
          87.78              3         255.13
         135.90              3         355.14
          96.05              3         452.93
         110.25              3         525.48
          84.76              3         569.04
         273.45              5         299.47
         189.50              4         116.61
         679.87              8         350.43
         307.49              5         236.12
         615.95              7         207.21
          94.54              3         133.75
          90.71              2         254.72
          18.30              1         194.77
         475.41              7         370.51
         170.52              4         194.80
           1.93              0         270.09
         247.69              5         503.97
         166.14              3         378.31
          36.88              1         296.35
         280.84              5         275.43
          82.11              2         177.74
          89.50              2         176.49
          13.06              1         155.88
          84.09              2         164.49
          69.60              2         274.30
         423.38              6         522.27
         186.46              4         204.51
         272.97              5         236.51
          60.15              2         387.57
         201.10              4         534.76
          25.22              1         402.49
          95.13              3         337.80
          25.39              1         353.07
          41.22              1         273.49
           4.11              0         172.50
          28.28              1         358.83
          80.48              2         547.05
         137.19              3         268.45
         130.33              3         534.85
         298.82              5         126.48
         110.39              3         228.85
         383.56              5         290.27
         195.29              4         257.06
           7.56              0         314.24
         403.69              6         564.04
         355.55              5         507.45
         243.52              5         275.56
         136.97              3         407.87
           6.75              0         235.63
         726.44              8         288.24
         322.44              5         297.15
         263.05              5         371.54
          55.06              2         435.59
         102.80              3         212.56
          19.30              1         348.38
         171.35              4         122.16
         201.78              4         211.77
         296.21              5         407.75
          82.92              2         296.58
         124.67              3         462.86
         277.97              5         289.26
          51.42              2         309.70
          87.65              3         202.20
         657.67              8         356.17
         364.55              6         265.76
