   #Hard on HCl         #J all              #              #
 #Erot(HCl)cm-1             #J    #Speed(m/s)
         269.52              5         142.97
         174.69              4          69.92
         521.11              7         261.88
         391.95              6         129.76
         104.38              3         188.41
         151.02              4         232.79
          53.73              2         235.62
          66.09              2         233.14
         200.52              4         457.70
         381.39              6         416.22
         263.00              4         397.23
         338.14              6         558.51
          55.68              2         416.14
         474.61              7         182.30
          98.54              3         301.09
         105.06              3         384.85
         120.82              3         134.65
         403.44              6         240.02
         102.64              2         358.12
         769.35              8         380.98
         793.72              8         274.72
         338.81              6         267.00
         221.82              5         678.46
          91.68              3         227.89
         581.52              8         263.75
         166.28              4         346.39
         275.84              5         246.88
         381.58              6         163.60
         109.81              3         721.16
         425.53              6         316.62
         344.70              6         339.75
         203.67              4         265.91
           1.14              0         504.08
          80.20              2         163.01
          85.63              3         259.88
         590.27              8         298.14
         759.13              8         323.01
          13.53              1         105.90
         159.70              3         224.78
         393.87              6         161.61
          19.64              1         225.49
          44.61              2         624.80
         245.80              4         362.48
         737.92              8         469.34
          45.43              2         243.87
         253.77              5         502.99
         187.02              4         610.34
         259.25              5         298.94
         195.34              4         330.32
         380.12              5         254.65
          54.42              2         515.67
         856.64              9         447.34
         573.06              8         351.20
         121.88              3         137.90
          11.45              0         571.78
         503.83              6         467.08
          83.08              3         110.20
         317.08              6         129.51
         295.81              4         256.04
         122.98              3         195.45
         333.06              5         351.27
           9.99              0         524.29
         271.24              5         439.49
          72.09              2         405.72
         764.77              8         282.58
         168.49              4         150.32
          49.22              2         168.80
          14.72              1         279.43
         299.05              5         194.15
          95.84              2         338.02
        1224.49             10         441.56
          66.03              2         321.40
        1074.98             10         200.36
         193.71              4         219.22
         465.85              7         377.98
           7.18              0         449.87
        1255.44             10         137.60
         585.98              8         347.55
         183.63              4         370.93
          57.74              2         483.67
         251.07              5         272.30
         226.58              5         307.42
         359.72              5         366.92
         129.42              3         252.66
         611.31              8         557.04
         448.38              6         215.83
        1331.35             10         288.10
          60.32              2         260.16
         181.74              4         214.18
          75.78              2         318.97
          57.38              2         259.69
         504.54              7         477.75
         514.95              7         158.51
         105.97              3         205.25
         121.93              3         645.69
          36.42              1         150.19
         120.19              3         402.67
         833.26              9         304.44
          19.79              1         239.37
         261.20              5         160.17
          12.88              1         297.88
         277.55              4         313.14
          51.91              2         371.83
          17.50              1         397.58
